GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2016;03401;Delmenhorst, kreisfreie Stadt;1192;1048;1411;1972;1236;884;2436;2657;2276;2123;2277;2806;3308;2782;2289;3948;3524;1166;940;1263;1659;1186;795;2202;2356;2108;2174;2235;2907;3149;2864;2486;4353;5033
31.12.2016;03402;Emden, kreisfreie Stadt;767;638;926;1186;842;598;1987;1954;1589;1467;1434;1968;2027;1729;1482;2448;2163;667;637;827;1135;776;604;1701;1739;1424;1400;1371;1898;1906;1706;1548;2673;3269
31.12.2016;03403;Oldenburg (Oldenburg), kreisfreie Stadt;2360;2085;2744;3541;2445;1920;5743;7041;5863;5048;4619;6121;6216;5490;4456;7132;6301;2191;2033;2724;3426;2282;1975;6568;7471;6013;5091;4901;6327;6889;5867;5011;8061;9756
31.12.2016;03404;Osnabrück, kreisfreie Stadt;2274;2077;2737;3369;2219;1980;7189;7850;6153;5156;4687;5865;5866;5151;4097;6379;6381;2225;1972;2588;3102;2012;2027;8320;7562;5845;4874;4724;5717;5841;5303;4642;7378;10508
31.12.2016;03405;Wilhelmshaven, kreisfreie Stadt;958;863;1147;1430;1052;831;2929;3244;1910;1907;1775;2685;3081;2661;2237;4435;4366;914;809;1100;1418;995;836;2507;2344;1979;1723;1782;2562;3157;2812;2509;4896;6347
31.12.2016;03451;Ammerland, Landkreis;1775;1613;2308;3222;2270;1493;3336;3126;3145;3256;3475;4990;5410;4542;3776;6443;6019;1586;1615;2127;3032;2037;1399;2847;3103;3219;3433;3659;5100;5461;4744;4076;6953;8108
31.12.2016;03452;Aurich, Landkreis;2550;2455;3509;4790;3444;2429;5753;5549;4951;4973;5541;7632;8084;7052;6231;10622;8265;2282;2335;3152;4458;3249;2243;4843;4967;4690;5012;5510;7819;8309;7503;6632;11126;12106
31.12.2016;03453;Cloppenburg, Landkreis;2798;2643;3667;5102;3508;2467;5816;5764;5399;5124;5159;6645;7049;6134;4742;6189;5603;2704;2513;3455;4783;3234;2191;5165;5062;4853;4785;4901;6255;6592;5992;4678;6296;8662
31.12.2016;03454;Emsland, Landkreis;4767;4499;6326;8719;6201;4206;10493;11232;10439;10040;10393;13159;14046;12105;10052;14367;12281;4593;4284;5989;8316;5571;3808;8741;9218;9185;9131;9414;12351;13016;11805;10040;14732;17872
31.12.2016;03455;Friesland, Landkreis;1289;1225;1712;2304;1757;1203;2617;2385;2241;2289;2531;3910;4388;3664;3216;5830;5512;1217;1146;1572;2171;1594;1130;2191;2287;2302;2469;2701;4084;4525;3850;3384;6293;7420
31.12.2016;03456;Grafschaft Bentheim, Landkreis;1926;1943;2703;3666;2564;1804;4156;4156;3887;3834;4051;5404;6050;5119;4284;6461;5872;1896;1784;2616;3457;2377;1583;3528;3679;3632;3729;4031;5424;5869;4910;4334;6688;8353
31.12.2016;03457;Leer, Landkreis;2319;2307;3117;4307;3049;2178;5036;5238;4954;4871;4972;6866;7295;6126;5368;8578;7216;2214;2123;3021;4193;2947;1980;4468;4684;4451;4464;4934;6777;7106;6407;5377;8999;10311
31.12.2016;03458;Oldenburg, Landkreis;1736;1726;2478;3432;2469;1632;3648;3469;3335;3518;3756;5598;6268;5131;4091;6402;5791;1676;1677;2265;3139;2234;1522;3084;3132;3232;3553;3955;5654;6042;5143;4138;6602;7956
31.12.2016;03459;Osnabrück, Landkreis;5280;4965;6905;9406;6561;4734;10632;10588;9772;10019;10540;13986;15878;14148;11333;15845;15521;4830;4721;6485;9014;6008;4112;8918;9382;9431;9941;10729;13987;15627;13927;11388;16875;23319
31.12.2016;03460;Vechta, Landkreis;2347;2235;3009;4062;2897;2011;5117;5180;4710;4287;4434;5527;5970;5166;3963;5164;4562;2166;2045;2831;3790;2530;1805;4839;4531;4251;4208;4274;5215;5779;4838;3834;5210;6884
31.12.2016;03461;Wesermarsch, Landkreis;1126;1112;1597;2181;1626;1197;2612;2535;2204;2235;2520;3646;4146;3628;3040;4857;4457;1043;998;1426;2145;1468;1048;2256;2173;2088;2153;2514;3526;4099;3493;2999;4932;6202
31.12.2016;03462;Wittmund, Landkreis;757;701;1040;1372;1032;717;1571;1561;1307;1443;1569;2201;2418;2189;1845;3431;2769;655;661;957;1367;1008;680;1432;1315;1376;1486;1556;2268;2361;2399;2052;3439;3946
31.12.2016;04011;Bremen, kreisfreie Stadt;8509;7267;9810;12152;8573;7193;18598;22723;20400;18273;17014;20902;22638;18782;15495;26336;24505;7979;6822;9331;11065;7393;5752;17906;21044;19568;17037;16507;20010;21864;19457;16867;29739;38208
31.12.2016;04012;Bremerhaven, kreisfreie Stadt;1848;1605;2139;2669;1722;1293;3748;4038;3897;3480;3371;4055;4366;4126;3413;5603;4931;1639;1560;2028;2563;1703;1177;3264;3553;3127;3009;2979;3739;4319;4182;3870;6289;7729
31.12.2016;05111;Düsseldorf, kreisfreie Stadt;9811;8605;11194;12656;7729;5467;16184;22703;24492;22125;20497;24289;24730;19774;15718;25158;25099;9380;8151;10564;11989;6985;5307;17575;25523;25611;22110;19856;23168;23517;20384;17455;30575;38849
31.12.2016;05112;Duisburg, kreisfreie Stadt;7756;6902;9419;11854;7856;5934;16837;18514;15834;15547;15114;18851;20831;17919;14886;21181;21864;7162;6489;8891;11173;7168;5115;14868;17112;14950;14955;14863;18150;19608;17797;15908;24572;33965
31.12.2016;05113;Essen, kreisfreie Stadt;8785;7637;10194;12704;8239;6098;18049;21535;20003;17985;17007;21382;23157;20463;17496;26489;25842;8196;7350;9660;11881;7491;5371;17976;21222;19336;17807;16836;20905;22739;21141;19012;30998;42098
31.12.2016;05114;Krefeld, kreisfreie Stadt;3190;3038;4224;5333;3629;2541;6842;7426;6765;6364;6464;8799;9745;8517;6769;10387;10560;3083;2822;3748;4963;3243;2382;6248;6914;6552;6438;6679;8958;9557;8701;7309;12617;16005
31.12.2016;05116;Mönchengladbach, kreisfreie Stadt;3789;3479;4671;6051;4008;2907;7998;9267;8513;7481;7304;9956;11247;9965;8169;12121;11243;3573;3197;4354;5719;3743;2831;7755;8714;7902;7551;7344;9648;11093;10033;8712;13453;17134
31.12.2016;05117;Mülheim an der Ruhr, kreisfreie Stadt;2456;2321;2934;3759;2431;1730;4865;5287;4818;4735;4705;6587;7215;6333;5365;8264;8626;2175;2155;2901;3496;2252;1555;4195;4939;4799;4947;4896;6707;7401;6729;5911;9880;13567
31.12.2016;05119;Oberhausen, kreisfreie Stadt;2913;2756;3660;4606;3145;2343;6357;7022;6449;6389;6336;8015;9033;8175;7022;10014;9485;2794;2553;3468;4515;2915;2079;5528;6579;6344;6377;5806;7887;8812;8519;7481;11164;14841
31.12.2016;05120;Remscheid, kreisfreie Stadt;1583;1414;2016;2612;1761;1247;3188;3346;3146;3255;3200;4364;5126;4322;3416;5343;5194;1495;1372;1903;2558;1624;1173;2883;3201;2820;3181;3142;4268;4705;4315;3482;6002;7954
