ID;Kreise;Maennlich;Weiblich;Insgesamt
13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);-;-;-
13059;Ostvorpommern, Landkreis (bis 03.09.2011);-;-;-
13060;Parchim, Landkreis (bis 03.09.2011);-;-;-
13061;Rügen, Landkreis (bis 03.09.2011);-;-;-
13062;Uecker-Randow, Landkreis (bis 03.09.2011);-;-;-
13071;Mecklenburgische Seenplatte, Landkreis;128806;133010;261816
13072;Rostock, Landkreis;106578;107367;213945
13073;Vorpommern-Rügen, Landkreis;110869;114102;224971
13074;Nordwestmecklenburg, Landkreis;78132;78693;156825
13075;Vorpommern-Greifswald, Landkreis;116746;120628;237374
13076;Ludwigslust-Parchim, Landkreis;106143;106419;212562
14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-;-;-
14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-;-;-
14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-;-;-
14171;Annaberg, Landkreis (bis 31.07.2008);-;-;-
14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-;-;-
14177;Freiberg, Landkreis (bis 31.07.2008);-;-;-
14178;Vogtlandkreis (bis 31.07.2008);-;-;-
14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-;-;-
14182;Mittweida, Landkreis (bis 31.07.2008);-;-;-
14188;Stollberg, Landkreis (bis 31.07.2008);-;-;-
14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-;-;-
14193;Zwickauer Land, Landkreis (bis 31.07.2008);-;-;-
14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-;-;-
14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-;-;-
14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-;-;-
14272;Bautzen, Landkreis (bis 31.07.2008);-;-;-
14280;Meißen, Landkreis (bis 31.07.2008);-;-;-
14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-;-;-
14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-;-;-
14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-;-;-
14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-;-;-
14290;Weißeritzkreis (bis 31.07.2008);-;-;-
14292;Kamenz, Landkreis (bis 31.07.2008);-;-;-
14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-;-;-
14374;Delitzsch, Landkreis (bis 31.07.2008);-;-;-
14375;Döbeln, Landkreis (bis 31.07.2008);-;-;-
14379;Leipziger Land, Landkreis (bis 31.07.2008);-;-;-
14383;Muldentalkreis (bis 31.07.2008);-;-;-
14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-;-;-
14511;Chemnitz, kreisfreie Stadt;121279;125074;246353
14521;Erzgebirgskreis;168484;175652;344136
14522;Mittelsachsen, Landkreis;154217;156288;310505
14523;Vogtlandkreis;112594;118457;231051
14524;Zwickau, Landkreis;156866;165233;322099
14612;Dresden, kreisfreie Stadt;272398;274774;547172
14625;Bautzen, Landkreis;150557;154134;304691
14626;Görlitz, Landkreis;126460;131877;258337
14627;Meißen, Landkreis;120270;123619;243889
14628;Sächsische Schweiz-Osterzgebirge, Landkreis;121445;124621;246066
14713;Leipzig, kreisfreie Stadt;280292;290796;571088
14729;Leipzig, Landkreis;126701;131632;258333
14730;Nordsachsen, Landkreis;98428;99635;198063
15001;Dessau-Roßlau, kreisfreie Stadt;40105;42400;82505
15002;Halle (Saale), kreisfreie Stadt;115198;122807;238005
15003;Magdeburg, kreisfreie Stadt;117527;120609;238136
15081;Altmarkkreis Salzwedel;42579;42657;85236
15082;Anhalt-Bitterfeld, Landkreis;80043;83057;163100
15083;Börde, Landkreis;86387;86572;172959
15084;Burgenlandkreis;90964;92210;183174
15085;Harz, Landkreis;108403;111240;219643
15086;Jerichower Land, Landkreis;45611;45734;91345
15087;Mansfeld-Südharz, Landkreis;68902;70879;139781
15088;Saalekreis;92122;93829;185951
15089;Salzlandkreis;95151;99424;194575
15090;Stendal, Landkreis;56664;57729;114393
15091;Wittenberg, Landkreis;62798;64651;127449
15101;Dessau, kreisfreie Stadt (bis 30.06.2007);-;-;-
15151;Anhalt-Zerbst, Landkreis (bis 30.06.2007);-;-;-
